
dataset4GIA2 dataset

values of a from 0.1 to 10,000 and k=1200

#     a        b   E   k  Ete  Ete(%)     Ite [] 

#------- -------- --- --- --- ------- ----------

     0.1      0.1   0  86 137  15.2   [12.9,17.6] 
     1.0      0.1   0  78 146  16.2   [13.8,18.6] 
    10.0      0.1   0  76 152  16.9   [14.4,19.3] 
   100.0      0.1   0  98 132  14.7   [12.4,17.0] 
  1000.0      0.1   0  98 132  14.7   [12.4,17.0] 
 10000.0      0.1   0  98 132  14.7   [12.4,17.0] 



 values of b from 0.1 to 100,000 and k=1200

#     a        b   E   k  Ete  Ete(%)     Ite [] 

#------- -------- --- --- --- ------- ----------

     0.1      0.1   0  86 137  15.2   [12.9,17.6] 
     0.1      1.0   0  74 135  15.0   [12.7,17.3] 
     0.1     10.0   0 111 135  15.0   [12.7,17.3] 
     0.1    100.0   0 318 140  15.6   [13.2,17.9] 
     0.1   1000.0  41 1200 144  16.0   [13.6,18.4] 
     0.1  10000.0 874 1200 124  13.8   [11.5,16.0] 
     0.1 100000.0 1281 1200 135  15.0   [12.7,17.3] 


